ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Aaptos,aaptos,"(Schmidt, 1864)",
Clathrospongia,abacus,(Hall),
Dictyophyton,abacus,Hall,
Pachastrella,abyssi,,
Cladorhiza,abyssicola,"Sars, 1872","Sars, G. O."
Pandaros,acanthifolium,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Pandaros,acanthifolium,"Duchassaing & Michelotti, 1864","Michelotti, G."
Ocellaria,acellata,,
Latrunculia,acerata,"Ridley & Dendy, 1886","Ridley, S. O."
Latrunculia,acerata,"Ridley & Dendy, 1886","Dendy, A."
Didiscus,aceratus,"(Ridley & Dendy, 1886)",
Ancorina,acervus,"(Bowerbank, 1864)",
Ecionemia,acervus,"Bowerbank, 1864","Bowerbank, J. S."
Tethya,actinia,"de Laubenfels, 1950","de Laubenfels, M. W."
Calcifibrospongia,actinostromarioides,"Hartman, 1979","Hartman, W. D."
Hymeniacidon,actites,"(Ristau, 1978)",
Leucophloeus,actites,"Ristau, 1978","Ristau, D. A."
Acanthella,acuta,"Schmidt, 1862","Schmidt, E. O."
Scyphia,acuta,,
Mycale,adherens,"(Lambe, 1894)",
Clathria,adioristica,"(de Laubenfels, 1953)",
Clathria,adioristica,(de Laubenfels),
Dictyociona,adioristica,"de Laubenfels, 1953","de Laubenfels, M. W."
Hymeniacidon,adreissiformis,"Dickinson, 1945","Dickinson, M. G."
Aplysina,aerophoba,"(Nardo, 1833)",
Verongia,aerophoba,Schmidt,Schmidt
Microciona,affinis,"(Topsent, 1889)",
Spongia,agaricina,"Pallas, 1776","Pallas, P. S."
Spongia,agaricina,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,agaricina,"Duchassaing & Michelotti, 1864","Michelotti, G."
Spongia,agaricina,,
Spongia,agaricina,Hyatt,"Hyatt, A."
Spongia,agaricina,"Hyatt, 1877","Hyatt, A."
Coeloptychium,agaricoides,Goldfuss,"Goldfuss, G. A."
Myxilla,agennes,"de Laubenfels, 1930","de Laubenfels, M. W."
Plocoscyphia,agglomerata,,
Hoplochalina,agoga,"de Laubenfels, 1954","de Laubenfels, M. W."
